# Creation Date: Tue Mar 17 15:46:45 2015
# Data from the EMEC Catalogue (Gruenthal, G. & Wahlstroem, R., 2012)
# Contact address: ggrue@gfz-potsdam.de
# For technical questions: lemgo@gfz-potsdam.de
------------------------------------------------------------------------------------------------
# Indices at original magnitudes M_orig: w for Mw or Mo, L for ML, S for MS, b for mb, d for Md.
# The focal depth is given in km.
------------------------------------------------------------------------------------------------
# Requested data:
# Coordinate Range Lat: 40.0/50.5 Lon: -10.0/10.5
# Time: 1000 - 2006
# File Format:
# year;month;day;hour;minute;latitude;longitude;depth;intensity;M_orig;type;Mw ;Mw_err;reference
------------------------------------------------------------------------------------------------
 1021 ;    5; 12;    ;      ;  47.42 ;    9.38 ;     ;     5.5 ;      ;    ;3.8;      ;    SG12
 1065 ;    3; 27;   6;      ;  45.55 ;   10.22 ;     ;       7 ;   5.2;  w ;5.2;  0.3 ;  CPTI04
 1080 ;   12;  1;    ;      ;  50.00 ;    8.30 ;     ;     5.5 ;      ;    ;3.8;      ;    SG12
 1128 ;    6; 29;    ;      ;  47.76 ;    8.10 ;     ;     5.5 ;      ;    ;3.8;      ;    SG12
 1142 ;    1;  7;    ;      ;  49.30 ;    0.60 ;     ;     6.5 ;      ;    ;4.6;      ;    SG12
 1152 ;   12;  3;   6;      ;  42.20 ;    2.20 ;     ;       8 ;      ;    ;5.8;      ;    IGC1
 1168 ;    1; 10;    ;      ;  43.72 ;   10.40 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1182 ;    8; 15;    ;      ;  44.42 ;    8.90 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1197 ;     ;   ;    ;      ;  45.55 ;   10.22 ;     ;     6.5 ;     5;  w ;5.0; 0.33 ;  CPTI04
 1217 ;    1;  8;    ;      ;  44.42 ;    8.90 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1225 ;   10;  1;    ;      ;  48.00 ;    7.30 ;     ;     5.5 ;      ;    ;3.8;      ;    SG12
 1241 ;    9; 23;  20;      ;  49.18 ;   -0.37 ;     ;       5 ;      ;    ;3.6;      ;  SisF10
 1249 ;    8; 16;    ;      ;  48.80 ;   10.30 ;     ;     5.5 ;      ;    ;3.8;      ;    SG12
 1276 ;    7; 28;  18;    30;  45.08 ;    9.55 ;     ;       6 ;   5.1;  w ;5.1; 0.12 ;  CPTI04
 1289 ;    9; 24;    ;      ;  49.00 ;    8.00 ;     ;       7 ;      ;    ;5.0;      ;   GruRA
 1295 ;    9;  3;    ;      ;  46.78 ;    9.54 ;     ;       8 ;   6.2;  w ;6.2;      ; ECOS-09
 1303 ;    3; 22;  23;      ;  45.05 ;    9.69 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1311 ;     ;   ;    ;      ;  44.88 ;    7.33 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1322 ;     ;   ;    ;      ;  43.72 ;   10.40 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1356 ;   10; 18;  12;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1356 ;   10; 18;  13;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1356 ;   10; 18;  14;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1356 ;   10; 18;  16;      ;  47.55 ;    7.60 ;     ;       7 ;   5.4;  w ;5.4;      ; ECOS-09
 1356 ;   10; 18;  21;      ;  47.47 ;    7.60 ;     ;       9 ;   6.6;  w ;6.6;      ; ECOS-09
 1356 ;   10; 19;    ;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1356 ;   11;   ;    ;      ;  47.55 ;    7.60 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1357 ;    5;  5;   4;      ;  47.67 ;    9.18 ;     ;       5 ;   3.9;  w ;3.9;      ; ECOS-09
 1357 ;    5;  9;    ;      ;  48.17 ;    7.50 ;     ;     7.5 ;      ;    ;5.5;      ;   GruRA
 1363 ;    7;  3;    ;      ;  47.80 ;    7.10 ;     ;       7 ;      ;    ;5.0;      ;   Ley96
 1369 ;    2;  1;    ;      ;  44.92 ;    8.62 ;     ;     6.5 ;     5;  w ;5.0; 0.33 ;  CPTI04
 1372 ;    6;  1;   5;      ;  47.75 ;    7.15 ;     ;         ;   3.9;  w ;3.9;      ;  SisF10
 1372 ;    9;  8;    ;      ;  48.10 ;    7.70 ;     ;         ;   3.9;  w ;3.9;      ;  SisF10
 1373 ;    3;  3;    ;      ;  42.70 ;    0.70 ;     ;     8.5 ;   6.2;  w ;6.2;      ;   Oli08
 1383 ;    7; 24;  20;      ;  45.06 ;    9.91 ;     ;     5.5 ;   4.6;  w ;4.6; 0.13 ;  CPTI04
 1391 ;    3; 23;    ;      ;  47.67 ;    7.30 ;     ;       7 ;      ;    ;5.0;      ;     Ley
 1396 ;   11; 26;    ;      ;  45.58 ;    9.27 ;     ;     7.5 ;   5.4;  w ;5.4;  0.3 ;  CPTI04
 1404 ;    5;  2;    ;      ;  42.00 ;    2.80 ;     ;       7 ;      ;    ;5.2;      ;    IGC1
 1409 ;   11; 15;  11;    15;  44.80 ;   10.33 ;     ;       6 ;   4.8;  w ;4.8; 0.26 ;  CPTI04
 1426 ;    3;  3;    ;      ;  42.40 ;    2.00 ;     ;       7 ;      ;    ;5.2;      ;    IGC1
 1427 ;    3; 13;    ;      ;  42.03 ;    2.58 ;     ;     6.5 ;     5;  w ;5.0;      ;   Per09
 1427 ;    3; 14;    ;      ;  42.00 ;    2.60 ;     ;     7.5 ;      ;    ;5.5;      ;   IGN10
 1427 ;    3; 15;  12;      ;  42.00 ;    2.60 ;     ;       7 ;      ;    ;5.2;      ;   IGN10
 1427 ;    3; 19;    ;      ;  41.99 ;    2.60 ;     ;       8 ;   5.8;  w ;5.8;      ;   Per09
 1427 ;    4; 22;    ;      ;  41.98 ;    2.58 ;     ;     6.5 ;     5;  w ;5.0;      ;   Per09
 1427 ;    5; 15;    ;      ;  42.15 ;    2.45 ;     ;       8 ;   5.5;  w ;5.5;      ;   Per09
 1427 ;    6; 14;    ;      ;  41.85 ;    2.82 ;     ;       7 ;   5.3;  w ;5.3;      ;   Per09
 1428 ;    2;  2;    ;      ;  42.30 ;    2.33 ;     ;       9 ;   6.5;  w ;6.5;      ;   Per09
 1430 ;    1; 11;    ;      ;  42.42 ;    2.20 ;     ;     5.5 ;      ;    ;4.3;      ;    IGC1
 1438 ;    6; 11;  20;      ;  44.85 ;   10.23 ;     ;       8 ;   5.6;  w ;5.6; 0.17 ;  CPTI04
 1444 ;   11; 30;   4;      ;  47.80 ;    7.10 ;     ;       6 ;      ;    ;4.2;      ;     Ley
 1448 ;    5; 24;   1;      ;  41.60 ;    2.22 ;     ;       8 ;      ;    ;5.8;      ;    IGC1
