Cat,Year,Mo.,Da.,Hr.,Min.,Sec.,Latitude,Longitude,depth,mag_magtype,provider,mag_magtype,provider,Mw_source
ANK,11,,,,,,37.84,27.84,,6.40UK,ANK,,,6.70ANK
ANK,17,,,,,,37.85,27.3,,7.50UK,ANK,,,7.50ANK
ANK,29,,,,,,40.5,28.9,,7.00UK,ANK,,,7.00ANK
ANK,44,,,,,,38.2,27.4,,6.40UK,ANK,,,6.70ANK
ANK,60,,,,,,37.9,29.2,,7.00UK,ANK,,,7.00ANK
ANK,68,,,,,,37.74,27.4,,5.80UK,ANK,,,6.50ANK
ANK,110,,,,,,36.2,36,,6.40UK,ANK,,,6.70ANK
ANK,122,,,,,,40.6,29.9,,5.80UK,ANK,,,6.50ANK
ANK,253,,,,,,39.11,27.2,,5.80UK,ANK,,,6.50ANK
ANK,335,,,,,,40.6,36.9,,6.40UK,ANK,,,6.70ANK
ANK,345,,,,,,40.6,36.9,,5.80UK,ANK,,,6.50ANK
ANK,363,2,1,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,427,,,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,430,,,,,,41.04,28.98,,6.40UK,ANK,,,6.70ANK
ANK,440,10,26,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,447,12,8,,,,40.7,29.3,,6.40UK,ANK,,,6.70ANK
ANK,478,9,,,,,41.04,28.98,,6.40UK,ANK,,,6.70ANK
ANK,499,,,,,,40.4,37.6,,6.40UK,ANK,,,6.70ANK
ANK,528,,,,,,36.23,36.1,,7.50UK,ANK,,,7.50ANK
ANK,542,8,16,,,,41.04,28.98,,6.40UK,ANK,,,6.70ANK
ANK,543,9,6,,,,40.39,27.8,,7.00UK,ANK,,,6.90ANK
ANK,554,,,,,,40.77,29.9,,6.40UK,ANK,,,6.70ANK
ANK,561,,,,,,37.2,35.9,,6.40UK,ANK,,,6.70ANK
ANK,611,,,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,688,,,,,,38.41,27.2,,7.00UK,ANK,,,7.00ANK
ANK,715,,,,,,40.4,28.9,,7.00UK,ANK,,,7.00ANK
ANK,732,,,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,985,,,,,,40.4,28.9,,6.40UK,ANK,,,6.70ANK
ANK,986,11,,,,,41.04,28.98,,6.40UK,ANK,,,6.70ANK
ANK,1010,,,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,1011,,,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1031,8,13,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,1034,,,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,1045,,,,,,39.74,39.5,,7.00UK,ANK,,,7.00ANK
ANK,1111,,,,,,38.47,43.35,,7.00UK,ANK,,,7.00ANK
ANK,1115,,,,,,37,38.9,,7.00UK,ANK,,,7.00ANK
ANK,1131,,,,,,40.4,43.6,,6.40UK,ANK,,,6.70ANK
ANK,1165,,,,,,39.74,39.5,,5.80UK,ANK,,,6.50ANK
ANK,1168,,,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1170,,,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1205,,,,,,38.72,35.5,,7.00UK,ANK,,,7.00ANK
ANK,1251,,,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1255,,,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1268,,,,,,39.79,40.4,,7.00UK,ANK,,,7.00ANK
ANK,1276,,,,,,38.9,42.9,,5.80UK,ANK,,,6.50ANK
ANK,1287,,,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1308,,,,,,39.74,39.5,,5.80UK,ANK,,,6.50ANK
ANK,1319,,,,,,40.4,43.6,,5.80UK,ANK,,,6.50ANK
ANK,1363,,,,,,38.9,41.5,,5.80UK,ANK,,,6.50ANK
ANK,1374,,,,,,39.74,39.5,,5.80UK,ANK,,,6.50ANK
ANK,1422,,,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1441,,,,,,38.9,42.7,,6.40UK,ANK,,,6.70ANK
ANK,1458,,,,,,39.9,40.4,,7.50UK,ANK,,,7.50ANK
ANK,1482,,,,,,39.9,40.4,,7.50UK,ANK,,,7.50ANK
ANK,1505,,,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,1510,,,,,,40.9,35.2,,7.00UK,ANK,,,7.00ANK
ANK,1543,,,,,,39.74,39.5,,5.80UK,ANK,,,6.50ANK
ANK,1578,,,,,,39.74,39.5,,5.80UK,ANK,,,6.50ANK
ANK,1582,,,,,,38.73,41.5,,5.80UK,ANK,,,6.50ANK
ANK,1584,,,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1598,,,,,,40.6,35.4,,6.40UK,ANK,,,6.70ANK
ANK,1605,,,,,,40.4,43.6,,6.40UK,ANK,,,6.70ANK
ANK,1633,7,30,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,1644,,,,,,38.41,27.2,,5.80UK,ANK,,,6.50ANK
ANK,1646,4,,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,1653,2,23,,,,38.2,28.2,,7.50UK,ANK,,,7.50ANK
ANK,1664,,,,,,38.41,27.2,,5.80UK,ANK,,,6.50ANK
ANK,1666,,,,,,39.74,39.5,,5.80UK,ANK,,,6.50ANK
ANK,1667,4,6,,,,38.41,27.2,,5.80UK,ANK,,,6.50ANK
ANK,1668,,,,,,38.41,27.2,,7.00UK,ANK,,,7.00ANK
ANK,1674,,,,,,40.18,29.1,,5.80UK,ANK,,,6.50ANK
ANK,1688,7,12,,,,38.4,26.9,,7.50UK,ANK,,,7.50ANK
ANK,1701,,,,,,38.47,43.65,,5.80UK,ANK,,,6.50ANK
ANK,1707,,,,,,40.61,43.1,,5.80UK,ANK,,,6.50ANK
ANK,1714,,,,,,38.72,35.5,,5.80UK,ANK,,,6.50ANK
ANK,1718,,,,,,41.04,28.98,,6.40UK,ANK,,,6.70ANK
ANK,1746,,,,,,41.67,26.2,,5.80UK,ANK,,,6.50ANK
ANK,1754,,,,,,39.75,37,,5.80UK,ANK,,,6.50ANK
ANK,1763,9,3,,,,41.04,28.98,,5.80UK,ANK,,,6.50ANK
ANK,1766,,,,,,39.98,41.7,,5.80UK,ANK,,,6.50ANK
ANK,1766,4,23,,,,40.8,28.2,,5.80UK,ANK,,,6.50ANK
ANK,1767,,,,,,38.53,30.55,,5.80UK,ANK,,,6.50ANK
ANK,1784,7,19,,,,39.74,39.5,,6.40UK,ANK,,,6.70ANK
ANK,1789,,,,,,38.7,39.9,,5.80UK,ANK,,,6.50ANK
ANK,1795,,,,,,38.76,30.5,,6.40UK,ANK,,,6.70ANK
ANK,1826,,,,,,40.7,36.6,,5.80UK,ANK,,,6.50ANK
ANK,1828,6,15,,,,38.41,27.2,,5.80UK,ANK,,,6.50ANK
ANK,1835,8,,,,,38.72,35.5,,5.80UK,ANK,,,6.50ANK
ANK,1840,,,,,,40.1,43.4,,5.80UK,ANK,,,6.50ANK
ANK,1844,,,,,,40.98,34.8,,5.80UK,ANK,,,6.50ANK
ANK,1850,,,,,,38.42,27.45,,6.40UK,ANK,,,6.70ANK
ANK,1851,,,,,,40.03,28.4,,5.80UK,ANK,,,6.50ANK
ANK,1852,10,19,,,,36.4,28.6,,5.80UK,ANK,,,6.50ANK
ANK,1859,1,21,,,,39.98,41.7,,6.40UK,ANK,,,6.70ANK
ANK,1859,6,2,,,,39.92,41.3,,6.40UK,ANK,,,6.70ANK
