 EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,AUTHOR,TYPE,MAG,AUTHOR,TYPE,MAG
12575637,EHB      ,1963-03-11,07:27:23.58,37.946,29.167,35,TRUE  ,NEIC     ,mb    ,5.1,LJU      ,Ms    ,5.9,,,
12576040,EHB      ,1963-11-12,07:06:32.31,35.36,29.55,65,TRUE  ,EHB      ,Ms    ,5.5,NEIC     ,mb    ,5,,,
12445950,EHB      ,1964-01-30,17:45:58.40,37.401,29.931,56.2,      ,ISC      ,mb    ,5.3,,,,,,
12446631,EHB      ,1964-06-14,12:38:05.97,37.988,38.511,41.5,      ,ISC      ,mb    ,4.9,,,,,,
12447814,EHB      ,1965-03-26,20:29:24.47,36.888,30.891,109.3,      ,ISC      ,mb    ,4.9,,,,,,
12448134,EHB      ,1965-06-13,20:01:52.50,37.778,29.314,36.6,      ,ISC      ,mb    ,5.1,,,,,,
12448148,EHB      ,1965-06-17,02:58:26.86,37.739,29.353,40.9,      ,ISC      ,mb    ,4.7,,,,,,
12448954,EHB      ,1966-01-22,00:23:46.34,37.622,29.981,34.1,TRUE  ,ISC      ,mb    ,4.7,,,,,,
12449416,EHB      ,1966-05-09,03:51:11.57,37.11,30.995,126.4,      ,ISC      ,mb    ,4.8,,,,,,
12450944,EHB      ,1967-04-07,17:07:17.71,37.37,36.128,46.4,      ,ISC      ,mb    ,4.8,,,,,,
12450945,EHB      ,1967-04-07,18:33:33.80,37.37,36.176,39.1,      ,ISC      ,mb    ,4.9,,,,,,
12451195,EHB      ,1967-06-01,10:39:24.95,36.825,29.331,39.9,      ,ISC      ,mb    ,5,,,,,,
12451264,EHB      ,1967-06-15,14:56:06.28,34.114,32.483,46.4,      ,ISC      ,mb    ,4.7,,,,,,
12451898,EHB      ,1967-10-26,04:55:41.55,37.25,29.112,49.3,      ,ISC      ,mb    ,5,,,,,,
12453940,EHB      ,1968-10-30,16:51:36.92,37.971,38.587,2.8,      ,ISC      ,mb    ,5,,,,,,
12453974,EHB      ,1968-11-06,13:41:07.36,35.159,32.775,63.8,      ,ISC      ,mb    ,4.8,,,,,,
12454265,EHB      ,1969-01-14,23:12:09.76,36.144,29.202,35.5,      ,ISC      ,mb    ,5.6,,,,,,
12454513,EHB      ,1969-03-04,01:47:27.77,37.047,31.042,109.6,      ,ISC      ,mb    ,4.8,,,,,,
12454611,EHB      ,1969-03-24,11:54:16.66,27.432,33.925,21.5,      ,ISC      ,mb    ,4.9,,,,,,
12454612,EHB      ,1969-03-24,12:50:53.53,27.484,33.854,47,      ,ISC      ,mb    ,4.8,,,,,,
12454649,EHB      ,1969-03-31,07:15:51.03,27.513,33.938,3.2,      ,ISC      ,mb    ,6.1,,,,,,
12454651,EHB      ,1969-03-31,21:44:31.12,27.427,33.948,17.3,      ,ISC      ,mb    ,4.8,,,,,,
12454672,EHB      ,1969-04-04,12:18:47.76,27.626,33.845,17.6,      ,ISC      ,mb    ,4.6,,,,,,
