time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-12-24T18:11:35.720Z,35.7435,30.3332,7.8,4.1,mb,,,,1.27,us,usc000t9vb,2015-03-17T02:37:00.040Z,"63km SSE of Demre, Turkey",earthquake
2014-11-12T16:25:34.400Z,35.93,31.48,14,4.3,mb,,,,1.35,us,usc000swl6,2015-02-12T01:42:37.040Z,"80km SSW of Avsallar, Turkey",earthquake
2014-10-20T21:54:00.620Z,35.8358,30.9485,9.1,4,mb,,,,1.58,us,usb000spbb,2015-01-15T20:03:36.040Z,"79km SE of Beykonak, Turkey",earthquake
2014-10-18T13:41:32.880Z,35.8296,30.999,10,4,mb,,152,1.199,1.34,us,usb000snt9,2015-01-15T20:03:31.040Z,"83km SE of Beykonak, Turkey",earthquake
2014-10-16T12:40:07.010Z,35.8935,31.0187,1,4,mb,,,,1.59,us,usb000smu8,2015-01-15T20:03:27.040Z,"80km SE of Beykonak, Turkey",earthquake
2014-10-16T06:10:35.560Z,35.9132,30.9895,6.9,4,mb,,,,2.21,us,usb000smqj,2015-01-15T20:03:26.040Z,"76km SE of Beykonak, Turkey",earthquake
2014-09-22T07:25:36.970Z,35.3715,35.6011,10,4.1,mb,,97,1.904,1.15,us,usb000shrx,2014-12-19T00:05:25.040Z,"22km SW of Latakia, Syria",earthquake
2014-09-20T18:23:44.270Z,35.711,29.9575,6.2,4.3,mb,,,,0.8,us,usb000shd1,2014-12-19T00:05:23.040Z,"59km S of Demre, Turkey",earthquake
2014-09-13T04:23:06.300Z,35.75,30.17,12,4.1,mb,,,,1.36,us,usb000sc1l,2014-12-08T23:30:58.040Z,"57km SSE of Demre, Turkey",earthquake
2014-09-12T22:55:37.390Z,36.2452,30.9322,29,4.4,mb,,,,2.12,us,usb000sbzr,2014-12-08T23:30:58.040Z,"46km SE of Tekirova, Turkey",earthquake
2014-09-04T21:00:04.300Z,36.21,30.82,46,5.3,mww,,,,0.94,us,usb000s99n,2015-01-29T01:26:27.158Z,"41km SE of Tekirova, Turkey",earthquake
2014-09-01T20:50:06.650Z,33.7734,36.1504,10,4.4,mb,,233,2.615,0.52,us,usc000s9vd,2015-01-30T08:40:35.069Z,"4km S of Sirghaya, Syria",earthquake
2014-08-24T19:43:30.750Z,37.683,30.6288,7.4,5.1,mww,,,,1.09,us,usb000s5w4,2015-01-30T15:05:22.550Z,"9km ENE of Aglasun, Turkey",earthquake
2014-07-22T03:03:43.140Z,29.8676,32.4144,10,4.1,mb,,41,0.286,0.94,us,usb000rw2e,2015-01-30T16:13:21.165Z,"15km SW of Suez, Egypt",earthquake
2014-07-18T20:01:28.560Z,30.1728,32.4114,10,4.2,mb,,144,2.261,1.16,us,usb000rud7,2015-01-30T03:21:50.141Z,"24km NNW of Suez, Egypt",earthquake
2014-07-10T07:58:06.160Z,36.083,30.215,5,4.3,mb,,,,1.11,us,usb000rrhk,2014-10-10T08:02:11.000Z,"24km SSE of Finike, Turkey",earthquake
2014-07-05T21:41:35.860Z,33.5865,35.3975,12.7,4,mb,,67,1.892,1.15,us,usc000rqvn,2015-01-30T04:42:29.999Z,"3km NE of Sidon, Lebanon",earthquake
2014-07-01T11:21:48.430Z,36.599,29.997,82.2,4,mb,,,,1.32,us,usc000rp5x,2014-09-26T11:49:51.000Z,"16km SSE of Elmali, Turkey",earthquake
2014-06-30T16:35:22.020Z,35.1228,33.9098,54.56,4.2,mb,,81,0.501,1.22,us,usb000rvt5,2014-09-26T11:49:50.000Z,"3km W of Famagusta, Cyprus",earthquake
2014-06-19T20:30:47.440Z,35.813,32.06,71.02,4.5,mb,,81,1.342,0.73,us,usb000rh6j,2015-01-30T18:42:13.127Z,"55km SSW of Gazipasa, Turkey",earthquake
2014-06-09T03:38:34.900Z,36.7453,36.0505,17.6,4.6,mwr,,,,2.54,us,usc000rctx,2014-08-30T17:03:01.000Z,"19km NW of Denizciler, Turkey",earthquake
2014-05-25T12:22:55.880Z,34.1525,35.4736,21.55,3.8,mb,,97,0.28,1.08,us,usb000r6bz,2015-01-30T14:30:15.525Z,"16km WNW of Jbail, Lebanon",earthquake
2014-05-24T07:27:30.700Z,30.4765,35.3005,20,4.1,mb,,,,1.37,us,usb000r2f5,2015-01-30T01:00:03.246Z,"24km NW of Petra, Jordan",earthquake
2014-05-07T14:48:14.440Z,36.0212,31.3503,57.4,4.2,mb,,114,1.371,0.91,us,usb000r5et,2014-08-06T00:55:26.000Z,"76km SSW of Avsallar, Turkey",earthquake
2014-05-05T05:05:40.770Z,36.092,31.065,90.6,4.5,mb,,,,0.95,us,usb000qa6c,2014-07-27T21:51:22.000Z,"66km SE of Tekirova, Turkey",earthquake
2014-04-26T04:04:31.800Z,36.061,32.098,85.4,4.1,mb,,,,0.98,us,usb000qqy5,2014-07-14T20:11:16.000Z,"30km SW of Gazipasa, Turkey",earthquake
2014-04-21T13:05:56.810Z,35.4745,31.602,63.07,4.4,mb,,117,1.505,0.94,us,usb000psi8,2014-07-04T01:34:55.000Z,"89km WNW of Polis, Cyprus",earthquake
2014-04-16T23:49:50.910Z,36.3257,31.3627,81.4,4.2,mb,,,,0.93,us,usb000pnd7,2014-07-04T01:33:17.000Z,"48km S of Side, Turkey",earthquake
