Year,Month,Day,Lat,Lon,H,MS
37,,,36,36.3,15,6.2
53,,,36.2,36.5,30,6.6
303,,,33.8,34.3,20,7.1
494,,,35.8,36.3,25,6.5
502,8,22,33.0,34.8,30,7.2
531,,,35.5,37.2,15,6.5
551,7,9,34.00,35.5,28,7.2
565,,,36.0,36.2,30,6.0
747,1,18,32.5,35.6,25,7.2
847,11,24,34.4,36.3,35,7.5
859,12,30,35.7,36.4,33,7.4
991,4,5,33.70,36.4,22,7.1
1063,7,30,34.4,36.2,32,6.9
1114,11,,37.3,38.5,40,7.4
1114,11,,37.3,36.5,40,7.7
1152,9,27,32.6,36.7,12,5.8
1157,4,2,35.5,36.5,22,6.0
1157,7,13,35.2,36.6,25,6.6
1157,8,12,35.4,36.6,15,7.4
1170,6,29,34.8,36.4,35,7.7
1202,5,20,34.1,36.1,30,7.6
1344,1,2,36.7,37.4,30,6.8
1404,2,20,35.7,36.2,30,7.4
1408,12,29,35.8,36.1,25,7.4
1568,10,10,35.5,35.5,12,6.0
1626,1,21,36.5,37.1,20,7.3
1666,9,22,37.0,43.0,35,6.9
1705,11,24,33.70,36.6,35,6.9
1726,4,15,36.30,36.6,15,6.1
1738,9,25,36.7,36.5,10,6.2
1759,10,30,33.1,35.6,20,6.6
1759,11,25,33.70,35.9,30,7.4
1796,4,26,35.3,36.2,20,6.8
1822,8,13,36.1,36.75,18,7.0
1872,4,3,36.2,36.5,10,5.9
