event_id,Year,Mo,Da,Ho,Mi,Se,Ax,Lat,Lon,LatUnc,LonUnc,H,I0,Mw,MwUnc,TMW
210,1000,3,29,0,0,0,SHARE,50.183,4.237,50,50,,,3.73,0.3,
360,1003,3,21,0,0,0,SHARE,37.1,38.8,49.9,49.9,,,6.21,0.5,
500,1005,1,1,0,0,0,SHARE,43.463,11.879,30,30,,,5.2,0.33,
600,1005,1,1,0,0,0,SHARE,41.488,13.831,30,30,,,5.2,0.33,
900,1010,1,1,0,0,0,SHARE,41.008,28.98,50,50,,,5.44,0.33,
1000,1010,3,9,0,0,0,SHARE,40.8,28.8,10,10,,,5.88,0.46,
1210,1013,11,18,0,0,0,SHARE,50.65,5.583,50,50,,,3.48,0.3,
1300,1014,1,1,0,0,0,SHARE,45.65,0.15,30,30,,,5.44,0.3,
1410,1016,1,1,0,0,0,SHARE,40.66,43.76,49.9,49.9,,,6.09,0.3,
1600,1019,4,1,0,0,0,SHARE,41.129,14.777,40,40,,,4.72,0.34,
1810,1021,5,12,0,0,0,SHARE,48.073,10.576,50,50,,,3.85,0.3,
2000,1026,12,4,0,0,0,SHARE,41.008,28.98,30,30,,,6.24,0.3,
2070,1031,1,1,0,0,0,SHARE,36.33,43.11,49.9,49.9,,,6.3,0.3,
2200,1032,8,13,17,45,0,SHARE,41.008,28.98,30,30,,,5.83,0.33,
2300,1033,3,6,7,15,0,SHARE,41.008,28.98,50,50,,,5.02,0.33,
2450,1035,5,1,0,0,0,SHARE,41,29,99.9,99.9,,,5.82,0.5,
2410,1035,5,23,0,0,0,SHARE,51.778,9.409,50,50,,,3.48,0.3,
2650,1037,12,18,4,0,0,SHARE,37.1,38.8,99.9,99.9,,,5.82,0.5,
2700,1038,1,1,0,0,0,SHARE,41.008,28.98,50,50,,,4.86,0.33,
2900,1040,2,2,0,0,0,SHARE,38.416,27.137,20,20,,,6.52,0.33,
3100,1041,6,10,17,45,0,SHARE,41.008,28.98,50,50,,,5.16,0.33,
3200,1044,4,19,9,0,0,SHARE,41.129,14.777,40,40,,,4.72,0.34,
3220,1045,1,1,0,0,0,SHARE,39.75,39.5,39.9,39.9,,,6.77,0.5,
3290,1046,1,1,0,0,0,SHARE,40.5,43.5,99.9,99.9,,,6.21,0.5,
3400,1048,1,1,0,0,0,SHARE,38.037,-1.036,5.6,7.9,,,5.49,0.41,
3500,1048,10,13,0,0,0,SHARE,48.494,11.393,50,50,,,3.48,0.3,
3750,1050,8,4,0,0,0,SHARE,40.65,35.85,99.9,99.9,,,6.21,0.5,
3805,1053,1,1,0,0,0,SHARE,36.25,36.1,99.9,99.9,,,6.21,0.5,
3820,1058,1,1,0,0,0,SHARE,36.3,43.1,99.9,99.9,,,6.21,0.5,
3830,1058,12,2,0,0,0,SHARE,36.33,43.11,49.9,49.9,,,6.9,0.3,
4000,1063,9,23,0,0,0,SHARE,40.867,27.411,11.1,6.8,,,7.14,0.3,
4100,1065,1,1,0,0,0,SHARE,40.433,29.728,20,20,,,6.72,0.33,
4200,1065,3,27,11,25,0,SHARE,45.544,10.214,30,30,,,5.3,0.33,
4380,1076,4,22,0,0,0,SHARE,48.317,3.133,68.2,84.5,,,3.48,0.3,
4600,1079,7,17,0,0,0,SHARE,47.6,3.217,50,50,,,3.48,0.3,
4700,1079,9,1,0,0,0,SHARE,37.387,-5.991,30,30,,,5.11,0.3,
4800,1080,12,1,0,0,0,SHARE,50,8.267,30,30,,,5.44,0.3,
5000,1081,3,27,0,0,0,SHARE,50.654,4.568,50,50,,,3.65,0.3,
5010,1083,3,21,0,0,0,SHARE,47.025,-0.1,49.1,34.1,,,3.48,0.3,
5100,1087,9,10,0,0,0,SHARE,41.128,16.864,30,30,,,4.96,0.34,
5210,1088,5,11,0,0,0,SHARE,50,8.267,50,50,,,3.48,0.3,
5305,1088,8,16,0,0,0,SHARE,41.4,43.4,49.9,49.9,,,6.2,0.3,
5400,1090,12,6,10,0,0,SHARE,40.8,28.8,10,10,,,6.26,0.46,
5600,1091,1,27,0,0,0,SHARE,41.895,12.482,30,30,,,5.14,0.34,
5660,1091,9,1,0,0,0,SHARE,36.25,36.1,49.9,49.9,,,5.82,0.5,
5650,1091,11,2,0,0,0,SHARE,48.8,-1.6,50,50,,,3.48,0.3,
5800,1092,6,26,0,0,0,SHARE,48,21,99.9,99.9,,,5.77,0.5,
6100,1094,1,14,0,0,0,SHARE,41.129,14.777,40,40,,,4.72,0.34,
6600,1098,10,4,0,0,0,SHARE,47.025,-0.1,50,50,,,3.48,0.3,
7200,1107,2,12,3,0,0,SHARE,45.7,26.6,29.9,29.9,150,,7.1,0.3,
7360,1111,1,1,0,0,0,SHARE,38.5,43.5,99.9,99.9,,,6.21,0.5,
