# Creation Date: Wed Nov 19 16:44:21 2014
# Data from the EMEC Catalogue (Gruenthal, G. & Wahlstroem, R., 2012)
# Contact address: ggrue@gfz-potsdam.de
# For technical questions: lemgo@gfz-potsdam.de
------------------------------------------------------------------------------------------------
# Indices at original magnitudes M_orig: w for Mw or Mo, L for ML, S for MS, b for mb, d for Md.
# The focal depth is given in km.
------------------------------------------------------------------------------------------------
# Requested data:
# Coordinate Range Lat: 28/40 Lon: 30/40
# Time: 1000 - 2006
# File Format:
# year;month;day;hour;minute;latitude;longitude;depth;intensity;M_orig;type;Mw ;Mw_err;reference
------------------------------------------------------------------------------------------------
 1002 ;   11; 10;    ;      ;  36.50 ;   36.50 ;   18;       9 ;   6.9;  w ;6.9;      ;      KU
 1016 ;     ;   ;    ;      ;  32.20 ;   35.50 ;     ;       8 ;   5.5;  L ;5.5;      ;      FA
 1032 ;    3;  6;    ;      ;  34.80 ;   35.10 ;     ;         ;   6.8;  L ;7.0;      ;      FA
 1033 ;   12;  5;    ;      ;  32.50 ;   35.50 ;     ;     9.5 ;   6.5;  S ;6.5;      ;     KKP
 1045 ;     ;   ;    ;      ;  39.70 ;   39.50 ;     ;      11 ;      ;    ;7.5;      ;      GC
 1046 ;    7;  8;    ;      ;  39.00 ;   40.00 ;   30;     9.5 ;   7.9;  w ;7.9;      ;      KU
 1047 ;     ;   ;    ;      ;  31.00 ;   35.50 ;     ;       9 ;   6.5;  S ;6.5;      ;      FA
 1060 ;     ;   ;    ;      ;  32.20 ;   35.50 ;     ;       8 ;     6;  L ;6.1;      ;      FA
 1063 ;    8;   ;    ;      ;  34.40 ;   36.30 ;   32;       8 ;   6.9;  S ;6.8;      ;     SDM
 1068 ;     ;   ;    ;      ;  30.10 ;   35.30 ;     ;         ;     7;  S ;6.9;      ;   Zil05
 1068 ;    5; 29;    ;      ;  32.60 ;   35.30 ;     ;      10 ;      ;    ;7.0;      ;      GC
 1091 ;    9; 17;    ;      ;  36.10 ;   36.10 ;     ;       9 ;      ;    ;6.5;      ;     KKP
 1094 ;    6;   ;    ;      ;  33.30 ;   36.20 ;     ;       6 ;      ;    ;5.2;      ;      FA
