eventID,minute,longitude,magnitudeType,hour,Agency,magnitude,year,depth,month,dtime,second,catalogue,day,latitude
27517,1,35.5,MS,1,,7.3,-2150,999.0,1,-2149.99988391,1.0,KHAIR,1,31.1
27519,1,35.5,MS,1,,6.3,-1250,999.0,1,-1249.99988391,1.0,KHAIR,1,32.0
27520,1,35.7,MS,1,,7.2,-759,999.0,10,-758.224541445,1.0,KHAIR,11,33.2
9529,1,30.0,MW,1,PAPAZ.,6.5,-334,999.0,1,-333.99988391,1.0,GSHAP_TR,1,37.9
27521,1,36.1,MS,1,,6.6,-184,999.0,1,-183.999884228,1.0,KHAIR,1,36.2
9541,1,30.0,MW,1,PAPAZ.,6.6,-90,999.0,1,-89.9998839105,1.0,GSHAP_TR,1,37.9
27522,1,36.1,MS,1,,7.4,-64,999.0,1,-63.9998842276,1.0,KHAIR,1,36.2
27524,1,35.5,MS,1,,6.5,-31,999.0,9,-30.3313907598,1.0,KHAIR,2,32.0
9546,1,30.0,MW,1,PAPAZ.,6.3,23,999.0,1,23.0001160895,1.0,GSHAP_TR,1,37.2
34459,1,36.3,MS,1,,6.2,37,15.0,1,37.0001160895,1.0,SBEI,1,36.0
27525,1,36.0,MS,1,,6.3,37,999.0,3,37.2220338978,1.0,KHAIR,23,36.0
34460,1,36.5,MS,1,,6.6,53,30.0,1,53.0001160895,1.0,SBEI,1,36.2
8742,1,36.0,MW,1,ANK,6.7,110,999.0,1,110.00011609,1.0,GSHAP_TR,1,36.2
27527,1,36.1,MS,1,,7.3,115,999.0,12,115.948061295,1.0,KHAIR,13,36.1
34461,1,34.3,MS,1,,7.1,303,20.0,1,303.00011609,1.0,SBEI,1,33.8
27529,1,36.1,MS,1,,6.1,341,999.0,1,341.00011609,1.0,KHAIR,1,36.2
27531,1,35.6,MS,1,,6.5,362,999.0,5,362.391896911,1.0,KHAIR,24,31.3
34,1,35.4,MS,1,,7.4,363,999.0,5,363.378198281,1.0,AM06,19,31.5
27533,1,34.2,MS,1,,6.1,419,999.0,1,419.00011609,1.0,KHAIR,1,31.2
27536,1,36.1,MS,1,,6.3,457,999.0,9,457.701485953,1.0,KHAIR,14,36.1
34462,1,36.3,MS,1,,6.5,494,25.0,1,494.00011609,1.0,SBEI,1,35.8
34463,1,34.8,MS,1,,7.2,502,30.0,8,502.638472254,1.0,SBEI,22,33.0
27541,1,36.1,MS,1,,6.8,526,999.0,5,526.380938007,1.0,KHAIR,20,36.2
27542,1,36.1,MS,1,,6.9,528,999.0,11,528.909951838,1.0,KHAIR,29,36.2
9594,1,30.0,MW,1,PAPAZ.,6.5,530,999.0,1,530.00011609,1.0,GSHAP_TR,1,36.2
34464,1,37.2,MS,1,,6.5,531,15.0,1,531.00011609,1.0,SBEI,1,35.5
