missingDepths,minLat,events,ID,maxLat,minYear,minLon,name,missingMagnitudes,magTypes,maxYear,maxLon,minMag,maxMag
3,31.5,8,2,35.5,363,35.4,AM06,0,MS,1759,36.4,7.0,7.4
20,34.0,33,4,36.7,1894,30.91,AM93,0,"MB,MS",1986,35.2,3.1,6.5
0,28.005,1006,6,39.997,1939,30.007,ANSS,0,"MW,M,MB,MWW,ML,MS,MC,MD",2014,39.986,3.0,7.7
0,28.717,28,9,39.005,1963,30.007,EHB,0,"MB,MS,MW",2002,38.511,4.2,6.8
321,28.0,1716,0,40.0,1002,30.0,EMEC,0,"MD,MB,MS,MW",2006,40.0,3.0,7.9
0,27.0028,1513,5,35.9983,1903,32.0,GII,0,"MD,MB",2014,37.9283,3.0,6.5
25,32.2,37,13,40.0,-334,30.0,GSHAP_TR,0,MW,1964,40.0,3.5,7.4
3,28.0013,2074,8,40.0,1965,30.0,IRIS,0,"MW,MB,ML,MS,MC,MD",2010,39.99,3.0,6.8
0,28.809,9,7,39.508,1905,32.388,ISC,0,MW,1998,39.999,5.8,6.8
47,30.8,51,3,37.1,-2150,34.2,KHAIR,0,"MS,MW",1997,37.0,3.3,7.9
1,29.7388,631,10,39.9997,1901,30.0,KOERI,0,"MD,MB,ML,MW",2014,39.997,3.0,6.6
0,28.397,43,11,40.0,1963,30.0,NCEDC,0,"MD,MB,ML,MW",2014,39.9,3.1,5.5
2,32.5,18,1,37.3,37,34.3,SBEI,0,"MS,MW",1822,38.5,6.1,7.5
48,34.09,81,12,40.0,1003,32.0,SHARE,0,MW,2005,39.91,3.2,7.2
