depth,month,year,dtime,day,magType,Agency,eventID,latitude,longitude,second,magnitude,minute,hour,catalogue
0,10,1914,1914.75594857,3,MW,,106,37.5,30,34,7.1,6,22,ANSS
0,4,1922,1922.3260274,30,MB,,5201,33.0002,35.5004,0,3.1,0,0,GII
0,4,1929,1929.31589612,26,MB,,5221,32.8,36.5002,0,3.1,15,7,GII
0,4,1959,1959.27274344,10,MB,,5274,33.4,35.6,57,3.1,13,13,GII
0,3,1966,1966.20313927,16,MB,,5304,35.2496,32.3995,0,3.1,30,3,GII
0,1,1968,1968.02126176,8,MB,,10082,36.6,32,48,4.7,45,18,IRIS
0,4,1968,1968.26899941,8,MD,,5325,33.6806,34.4329,27,3.1,53,10,GII
0,12,1968,1968.95446642,15,MB,ISC,10098,36.1,30,59,4,1,8,IRIS
0,3,1970,1970.23895494,29,MB,ISC,10135,39.4,30,43,3.8,14,5,IRIS
0,3,1970,1970.24337855,30,MB,ISC,10142,39.2,30.1,46,3.9,59,19,IRIS
0,4,1970,1970.25979604,5,MB,ATH,10149,39.2,31.7,48,4.2,48,19,IRIS
0,4,1970,1970.30233974,21,MB,ISC,10164,39,30.2,46,4.6,29,8,IRIS
0,4,1970,1970.3170598,26,MB,ISC,10167,39.3,30.2,38,4.2,26,17,IRIS
0,10,1970,1970.76743858,8,MB,ISC,10193,31.7,35.3,43,4.9,45,2,IRIS
0,5,1971,1971.35973969,12,MB,LAO,10207,37.7072,30.0116,11,4.6,19,7,IRIS
0,5,1971,1971.35981833,12,MB,LAO,10208,38.1689,30.1173,31,4.3,0,8,IRIS
0,5,1971,1971.36260848,13,MB,LAO,10213,37.7574,30.6252,1,4.4,27,8,IRIS
0,5,1971,1971.37198868,16,MB,LAO,10219,37.6796,30.6879,15,3.7,37,18,IRIS
0,6,1971,1971.43595374,9,MB,ATH,10232,37.6279,30.3822,17,4.3,57,2,IRIS
0,6,1971,1971.49545041,30,MB,LAO,10239,36.8129,30.4118,44,4.2,8,20,IRIS
0,5,1972,1972.36444944,13,ML,LAO,10262,37.9639,36.1398,26,4.5,19,9,IRIS
0,6,1972,1972.49018972,28,MB,,5407,27.6991,33.8104,35.4,5.5,49,9,GII
0,7,1972,1972.55145821,20,MB,LAO,10265,38.5627,30.5755,32,3.9,0,20,IRIS
0,8,1972,1972.58967529,3,MB,LAO,10270,37.8826,32.1478,28,4.3,42,19,IRIS
0,10,1972,1972.81309126,24,MB,LAO,10276,37.7734,32.6404,37,4.8,11,14,IRIS
0,10,1972,1972.818088,26,MB,LAO,10277,38.238,30.0367,6,3.8,5,10,IRIS
0,11,1972,1972.89005806,21,MB,LAO,10278,35.4853,33.4934,12,4.1,16,18,IRIS
0,3,1973,1973.21728009,21,MB,LAO,10279,33.9491,32.3586,25,4.2,22,7,IRIS
0,8,1973,1973.61289118,12,MD,,5418,34.1952,36.6219,36.299,3.6,55,16,GII
0,8,1973,1973.61380708,13,MD,,5420,33.7913,35.177,0,3.2,57,0,GII
0,6,1974,1974.44739606,13,MB,LAO,10303,37.7054,32.7729,22,3.8,11,7,IRIS
0,7,1974,1974.5790736,31,MB,LAO,10308,36.7855,36.595,5,4.4,41,8,IRIS
0,8,1974,1974.64842136,25,MB,LAO,10312,37.2223,30.246,16,4.2,10,16,IRIS
0,2,1975,1975.16014346,28,MB,LAO,10319,39.958,39.2717,24,4.2,51,10,IRIS
0,3,1975,1975.23135876,26,MB,LAO,10321,38.7093,30.3249,10,3.8,42,10,IRIS
0,5,1975,1975.3592825,12,MB,,5444,27.7899,33.9676,52.99,4.2,18,3,GII
0,1,1976,1976.02191428,9,MB,ISK,10340,38.7081,30.8189,42,3.6,29,0,IRIS
0,1,1976,1976.03158868,12,MB,,30948,38.83,30,30,3.5,28,13,KOERI
0,2,1976,1976.13142949,18,MB,ISK,10346,39.0891,30.0273,36,3,28,2,IRIS
0,5,1976,1976.39803355,25,MB,ISK,10352,39.0317,30.2103,36,3.2,19,16,IRIS
0,6,1976,1976.417325,1,MB,ISK,10353,37.3286,30.6579,58,3.4,46,17,IRIS
0,6,1976,1976.45560283,15,MB,ISK,10354,38.8206,32.3139,55,4.1,0,18,IRIS
0,9,1976,1976.66908198,1,MB,,10364,36,30,58,3.9,12,21,IRIS
0,9,1976,1976.68548317,7,MB,,10365,38.291,30.4581,3,4,17,21,IRIS
0,9,1976,1976.69774516,12,MB,,30927,35.88,39.25,36.5,3.7,59,8,KOERI
0,9,1976,1976.74484606,29,ML,ISK,10373,38.6328,30.4125,40,3.6,43,14,IRIS
0,12,1976,1976.96832894,20,ML,ISK,10378,37.8861,31.7337,5,3.9,48,9,IRIS
0,12,1976,1976.99472051,30,MB,,10379,37.9,30.2518,30,3.9,37,1,IRIS
0,4,1977,1977.26665506,8,MB,,30914,37.9,36.7,54,4.3,53,7,KOERI
0,4,1977,1977.26844952,8,ML,ISK,10380,36.9902,31.2098,4,3.6,37,23,IRIS
0,4,1977,1977.2862858,15,MB,ISK,10383,36.7471,31.1648,49,3.5,51,11,IRIS
0,4,1977,1977.30217177,21,MB,ISK,10385,38.7408,31.5753,29,3.8,1,7,IRIS
0,4,1977,1977.31196553,24,MB,ISK,10386,39.1773,33.5043,5,3.1,49,20,IRIS
0,5,1977,1977.33628555,3,MB,ISK,10387,36.3307,31.2689,41,4.1,51,17,IRIS
0,8,1977,1977.60521785,9,MB,ISK,10394,37.7412,30.6143,30,3.9,42,21,IRIS
0,8,1977,1977.60610008,10,MB,ISK,10395,38.9273,30.0947,12,3.2,26,5,IRIS
0,8,1977,1977.64523221,24,MB,ISK,10396,35.2746,30.5788,3,4.3,14,12,IRIS
0,8,1977,1977.64962186,26,MB,,10397,35.5,30.066,15,3.9,41,2,IRIS
0,9,1977,1977.68356761,7,MB,,10398,38.4,30.7,8,3.7,3,12,IRIS
0,9,1977,1977.69728913,12,MB,,10399,38.6986,30.8767,10,3.5,15,12,IRIS
0,10,1977,1977.79869711,19,MB,,30894,36.82,30.12,12.1,3.5,35,12,KOERI
0,10,1977,1977.79905857,19,MB,ISK,10403,38.7255,31.0529,11,3.3,45,15,IRIS
0,12,1977,1977.97050396,21,MB,ISK,10407,36.1506,33.1123,53,3.7,36,5,IRIS
0,1,1978,1978.03300054,13,MB,ISK,10408,39.9794,30.4999,5,3.6,5,1,IRIS
0,4,1978,1978.32695947,30,MB,,30875,38.88,30.8,54,3.7,9,8,KOERI
0,5,1978,1978.36968214,15,MB,ISK,10418,38.6634,31.1076,56,3.8,24,22,IRIS
0,5,1978,1978.37516232,17,MB,ISK,10419,38.1861,30.1041,19,3.6,25,22,IRIS
0,7,1978,1978.5095099,5,MB,,30865,39.49,33.2,24.2,3.9,18,23,KOERI
0,7,1978,1978.57522723,29,MB,ISK,10425,37.4813,30.2481,26,3.6,59,22,IRIS
0,8,1978,1978.60572026,10,MB,ISK,10427,39.5856,30.6162,34,3.1,6,2,IRIS
0,9,1978,1978.71440925,18,MB,ISK,10430,38.3394,30.4088,30,3.2,13,18,IRIS
0,10,1978,1978.76236,6,MB,ISK,10436,37.7836,30.6739,25,3.1,16,6,IRIS
0,7,1979,1979.56410008,25,MB,ISK,10470,39.3677,30.9702,0,3.1,31,21,IRIS
0,12,1979,1979.92967494,6,MB,ISK,10483,38.7761,31.0984,9,3.5,57,7,IRIS
0,1,1980,1980.03486326,13,MB,,10489,38.59,31.77,20,3.5,14,18,IRIS
0,1,1980,1980.04856039,18,MB,ISK,10491,37.0832,30.9932,16,3.5,33,18,IRIS
0,2,1980,1980.13004908,17,MB,ISK,10496,37.7519,30.3557,4,3.4,21,14,IRIS
0,3,1980,1980.18476286,8,MB,ISK,10501,37.3675,30.4198,25,3.5,57,14,IRIS
0,3,1980,1980.24305397,29,MB,ISK,10502,37.8185,30.5556,10,3.3,59,22,IRIS
